"Theta [deg]","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='45deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='90deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='135deg'"
-52.5,2.40484419576307,1.79017387896897,0.263301121970713,-0.68947707964425
-52,2.39503703831135,1.77754785671953,0.238065764396753,-0.757368059040089
-51.5,2.38447663186074,1.7636483564588,0.21208082888918,-0.827480784690802
-51,2.37314131151563,1.74845159250095,0.185276801299468,-0.899886240347678
-50.5,2.36100622991086,1.73193371638781,0.157578049054009,-0.97465698838898
-50,2.34804343572781,1.71407067026656,0.128903309490831,-1.05186674887595
-49.5,2.33422198693375,1.69483803281092,0.0991662413113602,-1.13158992098698
-49,2.31950809677531,1.67421086202435,0.0682760305421529,-1.21390104859024
-48.5,2.30386530998491,1.65216353965213,0.0361380416544057,-1.29887423265476
-48,2.28725470614104,1.62866962221105,0.0026545039854618,-1.38658249415482
-47.5,2.26963512666974,1.6037017038065,-0.03227477665081,-1.47709709208397
-47,2.25096342159855,1.57723129593301,-0.0687516912945347,-1.5704868021525
-46.5,2.23119471188068,1.54922872933497,-0.106879096032251,-1.66681716268955
-46,2.21028266290424,1.51966308273688,-0.14676008455804,-1.76614969519853
-45.5,2.1881797646896,1.48850214283332,-0.188497274016384,-1.86854110791945
-45,2.16483761425966,1.45571239936382,-0.232192112297019,-1.97404249162761
-44.5,2.14020719573831,1.42125907839574,-0.277944214090152,-2.08269851773904
-44,2.11423915389003,1.38510621611385,-0.325850732063098,-2.19454664959641
-43.5,2.08688405704834,1.34721677448646,-0.376005768516075,-2.30961637856552
-43,2.0580926456885,1.30755279916957,-0.428499831845485,-2.42792849727495
-42.5,2.02781606326689,1.26607561894628,-0.48341934111364,-2.54949442296683
-42,1.99600606636882,1.22274608491024,-0.540846181016411,-2.67431558447993
-41.5,1.96261521166497,1.17752484651607,-0.600857308575317,-2.80238288683515
-41,1.92759701766427,1.13037266056914,-0.66352441197123,-2.93367626771194
-40.5,1.89090609975558,1.08125072823913,-0.728913621096403,-3.06816436025881
-40,1.85249827754186,1.03012105428465,-0.79708526863735,-3.20580427663297
-39.5,1.81233065397869,0.976946821894174,-0.868093699816774,-3.34654152636821
-39,1.77036166632254,0.921692775902282,-0.941987128324375,-3.4903100830752
-38.5,1.72655110936749,0.864325606647175,-1.01880753544904,-3.63703261203271
-38,1.68086013189057,0.804814326408347,-1.0985906089919,-3.78662086987618
-37.5,1.63325120763283,0.743130630209694,-1.181365718186,-3.93897628577848
-37,1.58368808250605,0.679249232798709,-1.26715592057078,-4.09399073120126
-36.5,1.53213570003256,0.613148173815819,-1.35597799656509,-4.25154748243436
-36,1.4785601072918,0.544809083545665,-1.44784250734728,-4.41152237671677
-35.5,1.42292834386138,0.474217402188071,-1.5427538715799,-4.57378515873896
-35,1.3652083163999,0.401362546291005,-1.64071045650809,-4.73820100978948
